sample,individual,type
Obs0_0003s,0003,0
Obs0_0008s,0008,0
Obs0_0009s,0009,0
Obs0_0014s,0014,0
Obs0_0033s,0033,0
Obs0_0037s,0037,0
Obs0_0038s,0038,0
Obs0_0041s,0041,0
Obs0_0046s,0046,0
Obs0_0053s,0053,0
Obs0_0054s,0054,0
Obs0_0063s,0063,0
Obs0_0069s,0069,0
Obs0_0079s,0079,0
Obs0_0089s,0089,0
Obs1_0003s,0003,1
Obs1_0008s,0008,1
Obs1_0009s,0009,1
Obs1_0014s,0014,1
Obs1_0033s,0033,1
Obs1_0037s,0037,1
Obs1_0038s,0038,1
Obs1_0041s,0041,1
Obs1_0046s,0046,1
Obs1_0053s,0053,1
Obs1_0054s,0054,1
Obs1_0063s,0063,1
Obs1_0069s,0069,1
Obs1_0079s,0079,1
Obs1_0089s,0089,1
Obs2_0003s,0003,2
Obs2_0008s,0008,2
Obs2_0009s,0009,2
Obs2_0014s,0014,2
Obs2_0033s,0033,2
Obs2_0037s,0037,2
Obs2_0038s,0038,2
Obs2_0041s,0041,2
Obs2_0046s,0046,2
Obs2_0053s,0053,2
Obs2_0054s,0054,2
Obs2_0063s,0063,2
Obs2_0069s,0069,2
Obs2_0079s,0079,2
Obs2_0089s,0089,2
Obs3_0003s,0003,3
Obs3_0008s,0008,3
Obs3_0009s,0009,3
Obs3_0014s,0014,3
Obs3_0033s,0033,3
Obs3_0037s,0037,3
Obs3_0038s,0038,3
Obs3_0041s,0041,3
Obs3_0046s,0046,3
Obs3_0053s,0053,3
Obs3_0054s,0054,3
Obs3_0063s,0063,3
Obs3_0069s,0069,3
Obs3_0079s,0079,3
Obs3_0089s,0089,3
Obs4_0003s,0003,4
Obs4_0008s,0008,4
Obs4_0009s,0009,4
Obs4_0014s,0014,4
Obs4_0033s,0033,4
Obs4_0037s,0037,4
Obs4_0038s,0038,4
Obs4_0041s,0041,4
Obs4_0046s,0046,4
Obs4_0053s,0053,4
Obs4_0054s,0054,4
Obs4_0063s,0063,4
Obs4_0069s,0069,4
Obs4_0079s,0079,4
Obs4_0089s,0089,4
