ROI left edge,ROI right edge,Quantification Mode,Metabolite,Quantification Signal,Chemical shift,Chemical shift tolerance,Half bandwidth,Multiplicity,J coupling,Roof effect,HMDB code
0.02,-0.02,Baseline Sum,TSP,1,0,0.002,1.6,1,0,0,
0.88,0.84,Baseline Fitting,U0_875,0,0.876,0.004,1.2,3,7.44,0,
0.88,0.84,Baseline Fitting,U0_86,1,0.86,0.005,1.2,3,7.39,0,
0.93,0.88,Baseline Fitting,Butyric acid,1,0.9,0.005,1,3,7.39,0,HMDB00039
0.93,0.88,Baseline Fitting,Valeric acid,1,0.895,0.003,1,3,7.39,0,HMDB00892
0.93,0.88,Baseline Fitting,Isovaleric acid,2,0.916,0.005,1,2,6.61,0,HMDB00718
1.03,0.93,Baseline Fitting,L-Isoleucine,1,1.011,0.005,1.2,2,7.001,0,HMDB00172
1.03,0.93,Baseline Fitting,L-Valine,1,0.99,0.005,1.2,2,7,0,HMDB00883
1.03,0.93,Baseline Fitting,L-Leucine,1,0.965,0.005,1.4,3,6.1,0,HMDB00687
1.03,0.93,Baseline Fitting,L-Isoleucine,2,0.943,0.005,1.2,3,7.414,0,HMDB00172
1.085,1.03,Baseline Fitting,Propionic acid,1,1.065,0.005,1,3,7.68,0,HMDB00237
1.085,1.03,Baseline Fitting,L-Valine,2,1.049,0.007,1.2,2,7.001,0,HMDB00883
1.35,1.31,Baseline Fitting,L-Lactic acid,1,1.332,0.005,1.4,2,6.96,0,HMDB00190
1.505,1.465,Baseline Fitting,L-Alanine,1,1.485,0.005,1.4,2,7.28,0,HMDB00161
1.595,1.54,Baseline Fitting,Butyric acid,2,1.57,0.005,1.4,4,7,0,HMDB00039
1.77,1.65,Baseline Sum,L-Lysine,2,1.73,0.005,1.4,1,0,0,HMDB00182
1.84,1.805,Baseline Fitting,U1_82,1,1.823,0.005,1.4,1,0,0,
1.945,1.91,Baseline Fitting,Acetic acid,1,1.93,0.007,1,1,0,0,HMDB00042
2.08,2.045,Baseline Fitting,Isovaleric acid,1,2.063,0.005,1.4,2,7.53,0.62,HMDB00718
2.22,2.145,Baseline Fitting,U2_16,0,2.16,0.004,1,1,0,0,
2.22,2.145,Baseline Fitting,Propionic acid,2,2.192,0.005,1,4,7.66,0,HMDB00237
2.22,2.145,Baseline Fitting,Butyric acid,3,2.166,0.005,1,3,7.33,0,HMDB00039
2.38,2.33,Baseline Sum,L-Glutamic acid,1,2.356,0.005,1.4,1,0,0,HMDB00148
2.425,2.4,Baseline Fitting,Succinic acid,1,2.412,0.007,1.2,1,0,0,HMDB00254
2.52,2.475,Baseline Fitting,Hydrocinnamic acid,1,2.497,0.005,1.2,3,7.77,0,HMDB00764
2.62,2.585,Baseline Fitting,U2_6,1,2.602,0.005,1.4,1,0,0,
2.72,2.625,Baseline Fitting,L-Aspartic acid,1,2.705,0.005,1.2,2,8.85,0,HMDB00191
2.72,2.625,Baseline Fitting,L-Methionine,1,2.646,0.005,1.4,3,7.587,0,HMDB00696
2.72,2.625,Baseline Fitting,L-Aspartic acid,2,2.676,0.005,1.2,2,8.85,0,HMDB00191
2.82,2.79,Baseline Fitting,U2_805,1,2.805,0.005,1.2,2,4.2,0,
2.913,2.893,Baseline Fitting,U2_91,1,2.903,0.003,1.5,1,0,0,
3.13,3.1,Baseline Fitting,Malonic acid,1,3.113,0.005,1.2,1,0,0,HMDB00691
3.15,3.12,Baseline Fitting,U3_136,1,3.136,0.005,1.4,1,0,0,
3.215,3.19,Baseline Fitting,Glycerophosphocholine,1,3.202,0.006,1.4,1,0,0,HMDB0000086
3.377,3.357,Baseline Fitting,Methanol,1,3.367,0.005,1.2,1,0,0,HMDB01875
3.515,3.475,Baseline Fitting,D-Galactose,1,3.495,0.005,1.4,3,9.2,0,HMDB00143
3.585,3.535,Baseline Fitting,Phenylacetic acid,1,3.544,0.005,1.4,1,0,0,HMDB00209
3.585,3.535,Baseline Fitting,Glycerol,1,3.575,0.005,1.4,2,6.4,0,HMDB00131
3.585,3.535,Baseline Fitting,Glycine,1,3.566,0.005,1.4,1,0,0,HMDB00123
3.585,3.535,Baseline Fitting,Glycerol,2,3.556,0.005,1.4,2,6.4,0,HMDB00131
4.165,4.11,Baseline Fitting,L-Lactic acid,2,4.137,0.008,1.4,4,6.93,0,HMDB00190
4.445,4.41,Baseline Fitting,U4_43,1,4.428,0.005,1.4,1,0,0,
4.68,4.63,Baseline Fitting,D-Glucose,1,4.655,0.005,1.4,2,7.6,0,HMDB00122
5.252,5.23,Baseline Fitting,D-Glucose,2,5.241,0.005,1.8,2,3.9,0,HMDB00122
5.82,5.78,Baseline Fitting,Uracil,1,5.8,0.005,1.4,2,7.9,0,HMDB00300
6.913,6.873,Baseline Fitting,L-Tyrosine,1,6.895,0.005,2,2,8.8,0,HMDB00158
7.205,7.165,Baseline Sum,L-Tyrosine,2,7.185,0.005,1.4,1,0,0,HMDB00158
7.4,7.35,Baseline Sum,Phenylacetic acid,2,7.38,0.005,1.6,3,7.5,1.2,HMDB00209
8.28,8.24,Baseline Fitting,Nicotinic acid,1,8.265,0.006,1.6,3,2,0,HMDB01488
8.28,8.24,Baseline Fitting,Nicotinic acid,2,8.253,0.006,1.6,3,2,0,HMDB01488
8.468,8.44,Baseline Fitting,Formic acid,1,8.46,0.01,1.8,1,0,0,HMDB00142
