Metabolite,HMDB Name,Shift (ppm),Hs,Type,J (Hz),Height,Physiological Charge,SMILES,InChlKey,pKa (Strongest Acidic),pKa (Strongest Basic),Blood,Urine,Feces,Saliva,Cerebrospinal Fluid (CSF),Amniotic Fluid,Aqueous Humour,Ascites Fluid,Breast Milk,Lymph,Sweat,Tears
Epi-coprostanol,HMDB01569,0.235,4,d,NA,0.6376,0,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,InChIKey=QYIXCDOBOSTCEI-FBVYSKEZSA-N,1.36,-1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Epi-coprostanol,HMDB01569,0.245,4,d,NA,0.6376,0,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,InChIKey=QYIXCDOBOSTCEI-FBVYSKEZSA-N,1.36,-1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Epi-coprostanol,HMDB01569,0.275,3,d,6.54,0.4276,0,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,InChIKey=QYIXCDOBOSTCEI-FBVYSKEZSA-N,1.36,-1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Epi-coprostanol,HMDB01569,0.295,3,s,NA,1,0,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,InChIKey=QYIXCDOBOSTCEI-FBVYSKEZSA-N,1.36,-1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11a-Hydroxyprogesterone,HMDB00920,0.425,2,m,NA,0.172,0,[H][C@@]12CCC(C(C)=O)[C@@]1(C)C[C@@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=BFZHCUBIASXHPK-ODYOLWGQSA-N,16.38,10.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epi-coprostanol,HMDB01569,0.435,10,m,NA,0.1572,0,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,InChIKey=QYIXCDOBOSTCEI-FBVYSKEZSA-N,1.36,-1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cortisone,HMDB02802,0.485,3,s,NA,0.7962,0,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=MFYSYFVPBJMHGN-ZPOLXVRWSA-N,17.79,2.77,0.0624,0.011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hydroxycobalamin,HMDB02308,0.505,1,s,NA,0.0162,2,[Co++].O.OC[C@H]1O[C@@]([H])([C@H](O)[C@]1([H])OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])[N-]\C1=C(C)/C1=N/C(=C\C3=N\C(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)\[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=C1C=C(C)C(C)=C2,InChIKey=DQOCFCZRZOAIBN-WZHZPDAFSA-L,2.45,-1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-a-Hydroxypregnenolone,HMDB00315,0.515,3,s,NA,0.5295,0,[H][C@@]12C[C@@H](O)[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,InChIKey=ZAKJZPQDUPCXSD-YRWKUUEZSA-N,18.3,-0.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17a-Hydroxypregnenolone,HMDB00363,0.515,3,s,NA,0.6416,0,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,InChIKey=JERGUCIJOXJXHF-TVWVXWENSA-N,4.56,-0.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
